organization,organization_url,project_summary,year_approved,status,amount,duration
Gulf Coast Community Design Studio,http://gccds.org,"To provide operating support to the Gulf Coast Community Design Studio while supporting community-engagement work focused on addressing the cultural, economic, and environmental threats to Turkey Creek, a watershed and African American community in Gulfport, MS..",2018,Active,"$150,000",24 months
HBCU VC,http://www.hbcu.vc/,To support HBCU VC’s student run venture capital training program in partnership with Historically Black Colleges and Universities across the country.,2018,Active,"$150,000",18 months
HEAL Food Alliance,www.healfoodalliance.org,"To support movement building to transform our current food and farming system to one that promotes better stewardship of our land, thriving local economies, and healthier communities nationwide.",2018,Active,"$150,000",24 months
Indigenous Environmental Network/Indigenous Educational Network of Turtle Island,www.ienearth.org,General operating support.,2018,Active,"$150,000",36 months
ISAIAH,http://www.isaiahmn.org,To support the launch of a leadership development program designed to help organizers from small and midsize towns in the Midwest integrate environmental and climate justice practices into their work to engage residents in improving environmental quality and sustainability.,2018,Active,"$825,000",36 months
It Takes Roots,http://ittakesroots.org ,"To support to It Takes Roots, a multi-racial cross-sector collaboration advancing strategies in frontline communities to improve environmental quality, rebuild place-based governance, and increase the visibility of frontline leaders.",2018,Active,"$575,000",36 months
Jobs with Justice Education Fund,http://www.jwj.org,"To support the Jobs with Justice Education Fund research, outreach, and long-term strategic planning efforts around Amazon and its second headquarters. This grant will also support the logistics network build-out, in partnership with Good Jobs First (GJF) and Partnership for Working Families (Partnership).",2018,Active,"$185,000",12 months
Just Community Energy Transition Fellowship,,"To support the Just Community Energy Transition fellowship and develop leadership in the climate justice field by knitting together a platform of aligned activities and a narrative around Just Transition to clean, renewable energy solutions that will create greater environmentally quality.",2018,Active,"$300,000",36 months
Kids Rethink New Orleans Schools,http://www.therethinkers.org,"To support Rethink New Orleans Schools’s formal connection with local artists in New Orleans, and to support core art-based training and fellowships for young people of color.",2018,Closed,"$50,000",12 months
Land Loss Prevention Project,www.landloss.org,General operating support.,2018,Active,"$225,000",36 months
Leeway Foundation,leeway.org ,"To support a comprehensive impact assessment for the Leeway Foundation, in conjunction with the organization’s 25th anniversary.",2018,Active,"$75,000",12 months
MLK50 2.0,mlk50.com ,"To support the production of an explanatory/investigative reporting series on poverty, power and public policy in Memphis, the poorest large metropolitan area in the nation.  This series will be an extension of the yearlong reporting project, MLK50: Justice Through Journalism.",2018,Active,"$175,000",12 months
Monument Lab,monumentlab.com ,"To support Monument Lab in building a national cohort of fellows from the fields of public art, history, architecture, city planning, and/or environmentalism over the next two years to support ongoing projects that address long-term inequities in municipal monument processes.",2018,Active,"$190,000",24 months
Mortar Cincinnati,www.wearemortar.com,To support Mortar Cincinnati’s development of an advanced curriculum designed to build local and wealth-generating businesses by developing wrap-around services to reinvigorate minority-led businesses; partnering with developers to ensure Mortar’s entrepreneurs can compete for local contracts across a variety of industries; and building out business support systems for entrepreneurs of color.,2018,Active,"$100,000",12 months
Ms. Foundation for Women,www.forwomen.org ,General operating support.,2018,Active,"$100,000",12 months
Music and Culture Coalition of New Orleans,https://maccno.com,General operating support.,2018,Active,"$100,000",24 months
"National League of Cities Institute, Inc",http://www.nlc.org/,To support the National League of Cities’ Equitable Economic Development Fellowship.,2018,Active,"$350,000",18 months
New Jersey Future,http://www.njfuture.org/,"To support stakeholders, especially low-income residents, small businesses and communities of color, to influence combined sewer overflow (CSO) alternatives reports in 2019, laying the groundwork for just, sustainable CSO plans in 2020.",2018,Active,"$85,000",12 months
Newark Community Economic Development Corp.,www.newarkCEDC.org,To support the Newark Community Economic Development Corporation to conduct an assessment and planning process of Newark’s entrepreneurial ecosystem for high-growth firms.,2018,Active,"$150,000",12 months
One America,www.weareoneamerica.org,General operating support.,2018,Active,"$185,000",24 months
One Voice Mississippi,http://onevoicems.org,General operating support.,2018,Active,"$350,000",36 months
Opportunity Finance Network,http://www.ofn.org,General operating support.,2018,Active,"$150,000",18 months
Paper Monuments,www.papermonuments.org ,"To support the second and third phases of the Paper Monuments initiative, which seeks to elevate the voices of the people of New Orleans; to create symbols of the city that represent residents’ collective vision; and to honor the erased histories of the people, events, movements, and places from the past 300 years.",2018,Active,"$110,000",18 months
Partnership for Southern Equity,psequity.org ,General operating support.,2018,Active,"$375,000",36 months
"People United for Sustainable Housing, Inc.",http://www.pushbuffalo.org,General operating support.,2018,Active,"$450,000",36 months
Pie Ranch,http://www.pieranch.org,"To support community engagement, program planning, and business planning for a Farm Incubator program that aims to increase equity, ownership, and wealth-building opportunities for under-resourced farmers of color.",2018,Active,"$50,000",12 months
Raise the Floor Alliance,http://www.raisetheflooralliance.org/,General operating support.,2018,Active,"$100,000",12 months
Right to the City Alliance,https://www.facebook.com/RTCalliance/ ,General operating support.,2018,Active,"$275,000",36 months
Rutgers Center for Urban Entrepreneurship & Economic Development,,To support the Rutgers Center for Urban Entrepreneurship and Economic Development’s Black and Latino Technology Program and Accelerate 2020 CEO Academy aimed at growing minority owned businesses and supporting entrepreneurs of color building tech businesses.,2018,Active,"$370,000",30 months
Smart Growth America,http://www.smartgrowthamerica.org,General operating support.,2018,Active,"$385,000",12 months
Strategic Actions for a Just Economy,www.saje.net,To connect grassroots base-building organizations to state level work that furthers the goals of the “Miyako” Network coordinated by Public Advocates and Urban Habitat by supporting policies for sustainability and equity along transit lines.,2018,Active,"$150,000",24 months
Texas Organizing Project Education Fund,www.organizetexas.org ,"To support the Texas Organizing Project Education Fund (TOPEF) development and implementation of the Boards and Commissions Leadership Institute (BCLI)—a program that prepares and equips women of color to serve on boards and/or commissions— in Houston, Texas and to explore expanding the program in other cities.",2018,Active,"$150,000",12 months
Transform Finance,http://www.transformfinance.org,To support Transform Finance’s Institute and year-long cohort model designed for social justice leaders to engage with finance as a social change strategy and jumpstart advanced initiatives to reclaim capital.,2018,Active,"$185,000",12 months
Verde,http://www.verdenw.org,"To support Verde and the Living Cully coalition in serving low-income and people-of-color communities by building environmental wealth through alignment of our energy, anti-displacement, and culturally specific community engagement work to ensure a thriving Cully.",2018,Active,"$150,000",36 months
"Working World, Inc.",http://theworkingworld.org,"To support Working World’s efforts to build out the infrastructure for a national network to bring investment to cooperatively-run, community-owned or controlled solar projects.",2018,Active,"$75,000",12 months
Rockefeller Family Fund,http://www.rffund.org,"To support the Local Solutions Support Center as it re-frames and responds to preemption as a direct and growing threat to local democracy, decrease the frequency of preemption, and ends its use as a punishment against local officials and governments.",2018,Active,"$350,000",24 months
Center for Popular Democracy,http://www.populardemocracy.org,"To support Local Progress, the national network of progressive municipal elected officials staffed by the Center for Popular Democracy (CPD), to grow its organizational capacity in key areas: campaigns, communications, research, training, and fundraising.  This grant will also support the Fed Up Campaign’s work to advocating for employment, rising wages and a more accountable Federal Reserve system.",2018,Active,"$675,000",36 months
"CGDCNY, Inc",cgdcny.org,General operating support.,2018,Active,"$150,000",36 months
Corbin Hill Food Project,http://corbinhill-foodproject.org/ ,General operating support.,2018,Active,"$300,000",36 months
Farm Fresh Rhode Island,http://www.farmfreshri.org,General operating support.,2018,Active,"$75,000",12 months
Greater Milwaukee Committee for Community Development,www.gmconline.org ,"To support the Great Milwaukee Committee’s Scale Up program, which is designed to increase wealth, access to capital, revenue growth, and hiring capacity for business owners of color in Milwaukee by providing the tools, knowledge, and networked ecosystem to advance ambitious business growth.",2018,Active,"$175,000",18 months
Hillman Accelerator,www.hill7.org,"To support the Hillman Accelerator, a program designed to assist high-growth, investment ready, minority and/or women led tech companies.",2018,Active,"$100,000",12 months
Institute of Contemporary Art,http://www.icaboston.org,"To provide closeout support for the out-of-school Teen Programs. This grant closes out our previous strategies in preparation for the rollout of our new arts and culture program, Radical Imagination for Racial Justice.",2018,Active,"$190,000",24 months
Justice Funders,http://www.justicefunders.org/,To support the Justice Funders to scale their model and network nationally by offering the Harmony Initiative (leadership programming for grantmakers) and Maestro Program (leadership programming for executives and trustees) to specific geographic communities outside of the Bay Area.,2018,Active,"$600,000",36 months
Movement Generation Justice and Ecology Project,www.movementgeneration.org,To support the Movement Generation Justice and Ecology project to: provide framing and training that helps align leaders in frontline communities to lead a Just Transition; build social movement infrastructure to leverage local change nationally; and carry out programs and activities that shift cultural norms toward a Just Transition.,2018,Active,"$450,000",36 months
New York Foundation,,"To support the Neighborhood First Fund, a philanthropic collaborative designed to help low wealth communities and communities of color lead equitable development initiatives.",2018,Closed,"$150,000",12 months
Pittsburgh United,http://www.cleanriverscampaign.org,"To support green infrastructure education, advocacy and engagement efforts to maximize environmental, social and economic benefits, especially for underrepresented communities.",2018,Active,"$250,000",24 months
President and Fellows of Harvard College,www.harvard.edu ,"To support the Initiative for Responsible Investment to support socially responsible investment by pension fund managers and help grow its Trustee Leadership Forum, a model for labor-affiliated public and private pension fund trustee engagement.",2018,Active,"$400,000",24 months
Project South,www.projectsouth.org,General operating support.,2018,Active,"$525,000",36 months
Public Advocates Inc.,http://www.publicadvocates.org/,To support communications work with Visionaries documentary series.,2018,Active,"$25,000",12 months
Queens Council on the Arts,http://www.queenscouncilarts.org,"To provide closeout support for the High School to Art School portfolio-development program, which offers free college-preparatory visual-arts and life-skills training to low-wealth students in New York City. This grant closes out our previous strategies in preparation for the rollout of our new arts and culture program, Radical Imagination for Racial Justice.",2018,Active,"$80,000",24 months
SAY Si (San Antonio Youth Yes!),http://www.saysi.org,General operating support.,2018,Active,"$150,000",24 months
Social and Environmental Entrepreneurs,http://www.saveourplanet.org/,"To support the Building Equity and Alignment Initiative in hosting a Just Transition forum to find alignment and build strategy across the grassroots, large environmental organizations, labor, and philanthropy.",2018,Active,"$75,000",12 months
The Theater Offensive,http://www.TheTheaterOffensive.org,"To provide closeout support for True Colors: OUT Youth Theater, which trains and activates at-risk LGBTQ and allied youth to become leaders and agents of social change in their communities. This grant closes out our previous strategies in preparation for the rollout of our new arts and culture program, Radical Imagination for Racial Justice.",2018,Active,"$150,000",24 months
"Urbano Project, Inc.",http://urbanoproject.org,"Closeout general operating support. This grant closes out our previous strategies in preparation for the rollout of our new arts and culture program, Radical Imagination for Racial Justice.",2018,Active,"$100,000",24 months
American Sustainable Business Institute,http://www.ASBCouncil.org,General operating support.,2017,Active,"$185,000",12 months
Business Alliance for Local Living Economies,http://www.bealocalist.org,General operating support.,2017,Active,"$75,000",12 months
Design Futures,welcometocup.org,"To support the Design Futures Public Interest Design Student Leadership Forum’s programmatic and field-building activities, serving future and current practitioners in the field of community-engaged design.",2017,Active,"$100,000",24 months
Inner City Advisors,www.icafundgoodjobs.org ,To support Inner City Advisors to further develop and test the Good Employer Matrix—an online assessment and underwriting tool to evaluate small business job quality and the mission impact of capital investments.,2017,Closed,"$150,000",12 months
Metropolitan Economic Development Association,www.meda.net,To support the Metropolitan Economic Development Association (MEDA) in accelerating the formation and growth of Black-owned businesses by scaling a group of Community Development Financial Institutions (CDFIs) specializing in small business credit.,2017,Active,"$175,000",12 months
New York City Environmental Justice Alliance,http://www.NYC-EJA.org,General operating support.,2017,Active,"$450,000",36 months
Paper Monuments,www.papermonuments.org ,"To support Paper Monuments, a project designed to elevate the voices of the people of New Orleans in a critical process 1) to create symbols of the city that represent a collective vision; and 2) to honor the erased histories of the people, events, movements, and places that have made up the past 300 years as we look to the future.",2017,Active,"$90,000",12 months
Strategic Concepts in Organizing and Policy Education,www.scopela.org ,To build community support for water infrastructure projects and public financing mechanisms in Los Angeles that advance water resilience while creating good jobs and multiple environmental and social benefits for low-wealth communities most impacted by poverty and pollution.,2017,Active,"$250,000",24 months
Washington Regional Association of Grantmakers,https://www.washingtongrantmakers.org,"To support the McDonough School of Business’s research, which is designed to examine the current entrepreneurial ecosystem from the investor lens and to look at pipeline, sources of funding, deal terms and potential exit strategies.",2017,Active,"$105,000",12 months
Zaccho Dance Theatre,http://www.zaccho.org,"Closeout general operating support. This grant closes out our previous strategies in preparation for the rollout of our new arts and culture program, Radical Imagination for Racial Justice.",2017,Active,"$160,000",24 months
ArtPlace America,http://www.artplaceamerica.org,"Closeout general operating support. This grant closes out our previous strategies in preparation for the rollout of our new arts and culture program, Radical Imagination for Racial Justice.",2017,Active,"$1,500,000",36 months
AS220,http://youth.as220.org,"To provide closeout support for the AS220 Youth program, which intertwines art education with social justice issues by providing opportunities for young people to develop creative-entrepreneurship, leadership, and life skills. This grant closes out our previous strategies in preparation for the rollout of our new arts and culture program, Radical Imagination for Racial Justice.",2017,Closed,"$75,000",12 months
Center for Cultural Innovation,http://www.cciarts.org,"To support Building Future Arts, a project that reconsiders the support system for artists in the U.S. and builds infrastructure to resource new ideas that will enable greater creative production for working artists.",2017,Active,"$900,000",36 months
Community Arts Stabilization Trust,http://cast-sf.org,General operating support.,2017,Active,"$300,000",36 months
Community Labor United,http://massclu.org/,General operating support.,2017,Closed,"$50,000",12 months
Groundswell Community Mural Project,www.groundswell.nyc,"To provide closeout support for the capstone Portfolio Development art-making program for young people, ages 15-19. This grant closes out our previous strategies in preparation for the rollout of our new arts and culture program, Radical Imagination for Racial Justice.",2017,Active,"$100,000",24 months
Jazz at Lincoln Center,http://www.jalc.org,"To support the Middle School Jazz Academy, a competitive, immersive program that offers world-class, tuition-free instrumental jazz instruction to New York City middle-school students from low-income families.",2017,Closed,"$100,000",12 months
Marwen Foundation,http://www.marwen.org,"Closeout general operating support. This grant closes out our previous strategies in preparation for the rollout of our new arts and culture program, Radical Imagination for Racial Justice.",2017,Active,"$120,000",24 months
National Employment Law Project,http://www.nelp.org,General operating support.,2017,Active,"$750,000",36 months
Philadelphia Mural Arts Advocates,http://www.muralarts.org,"To support the out-of-school Art Education program for underserved teens, helping them develop positive relationships, exercise creative faculties, and contribute to the growth of their communities.",2017,Active,"$160,000",24 months
Race Forward,"www.raceforward.org, www.colorlines.com, https://facingrace.raceforward.org/ ","To support the Center for Social Inclusion’s strategic capacity building work with low-income communities of color, local government, and other institutions to achieve structural racial equity across the United States; and support the strategic merger with Race Forward.",2017,Active,"$1,000,000",36 months
Rockefeller Family Fund,http://www.rffund.org,"To support the creation and delivery of the training curriculum for the rural electric cooperatives Democracy Organizing Fellowship, a regional collaboration among non-profits working to restore utility member rural electric cooperatives in Black Belt counties of the South.",2017,Closed,"$30,000",6 months
"Sustainable Business Education Initiative, Inc.",http://www.sbnphiladelphia.org,To support the Sustainable Business Education Initiative’s ongoing work to grow the local green stormwater infrastructure industry though its Green Stormwater Infrastructure Partners Initiative.,2017,Active,"$200,000",24 months
The Trustees of the University of Pennsylvania,http://www.sp2.upenn.edu/,"To support the Social Impact of the Arts Project to complete data-driven analyses, begun in 2014, of culture and social wellbeing in several cities, and to produce a book and a field guide of the research.",2017,Active,"$250,000",27 months
Yerba Buena Center for the Arts,http://ybca.org,"To support CultureBank, a new model for mobilizing community cultural assets to support artist entrepreneurs and their enterprises in ways that achieve high-impact solutions to difficult social and economic problems.",2017,Active,"$200,000",24 months
Alliance for California Traditional Arts,http://www.actaonline.org,"To support the Living Cultures Grants Program, which provides grants to small-budget organizations fostering traditional arts transmission, engagement, and sustainability for California’s varied cultural communities.",2017,Closed,"$200,000",24 months
Alonzo King's LINES Ballet,http://www.linesballet.org,"To provide closeout support to provide scholarship assistance to low-income students of color in the Summer Program. This grant closes out our previous strategies in preparation for the rollout of our new arts and culture program, Radical Imagination for Racial Justice.",2017,Closed,"$75,000",12 months
